true_label,num_secrets,b_no,b_guess,b_yes,setup_time,per_guess_time
1,240,12,1,0,1.872387886,5.767062974
1,240,16,0,4,1.872387886,5.767062974
1,240,12,0,2,1.872387886,5.767062974
1,240,12,1,0,1.872387886,5.767062974
1,240,13,3,0,1.872387886,5.767062974
1,240,18,2,0,1.872387886,5.767062974
1,240,12,1,0,1.872387886,5.767062974
1,240,15,2,0,1.872387886,5.767062974
1,240,12,0,0,1.872387886,5.767062974
1,240,13,0,1,1.872387886,5.767062974
1,240,11,0,1,1.872387886,5.767062974
1,240,12,0,2,1.872387886,5.767062974
1,240,15,1,0,1.872387886,5.767062974
1,240,12,1,0,1.872387886,5.767062974
1,240,11,0,1,1.872387886,5.767062974
1,240,15,1,0,1.872387886,5.767062974
1,240,13,3,0,1.872387886,5.767062974
1,240,11,0,1,1.872387886,5.767062974
1,240,12,0,2,1.872387886,5.767062974
1,240,15,2,0,1.872387886,5.767062974
1,240,12,0,2,1.872387886,5.767062974
1,240,12,0,0,1.872387886,5.767062974
1,240,18,2,0,1.872387886,5.767062974
1,240,12,0,0,1.872387886,5.767062974
1,240,18,2,0,1.872387886,5.767062974
1,240,12,0,0,1.872387886,5.767062974
1,240,12,0,2,1.872387886,5.767062974
1,240,18,2,0,1.872387886,5.767062974
1,240,13,0,1,1.872387886,5.767062974
1,240,13,0,1,1.872387886,5.767062974
1,240,19,0,1,1.872387886,5.767062974
1,240,13,3,0,1.872387886,5.767062974
1,240,12,0,0,1.872387886,5.767062974
1,240,14,0,1,1.872387886,5.767062974
1,240,11,0,1,1.872387886,5.767062974
1,240,13,0,1,1.872387886,5.767062974
1,240,10,0,0,1.872387886,5.767062974
1,240,14,0,1,1.872387886,5.767062974
1,240,12,0,0,1.872387886,5.767062974
1,240,16,0,1,1.872387886,5.767062974
1,240,12,0,2,1.872387886,5.767062974
1,240,12,0,2,1.872387886,5.767062974
1,240,12,0,2,1.872387886,5.767062974
1,240,18,2,0,1.872387886,5.767062974
1,240,13,2,0,1.872387886,5.767062974
1,240,12,0,2,1.872387886,5.767062974
