true_label,num_secrets,b_no,b_guess,b_yes,setup_time,per_guess_time
0,20,17,21,0,0.85912776,4.605168569
0,20,13,10,0,0.85912776,4.605168569
0,20,13,7,0,0.85912776,4.605168569
0,20,23,20,0,0.85912776,4.605168569
0,20,13,12,0,0.85912776,4.605168569
0,20,17,15,0,0.85912776,4.605168569
0,20,15,23,0,0.85912776,4.605168569
0,20,17,18,0,0.85912776,4.605168569
0,20,13,13,0,0.85912776,4.605168569
0,20,24,27,0,0.85912776,4.605168569
0,20,18,17,0,0.85912776,4.605168569
0,20,13,13,0,0.85912776,4.605168569
0,20,18,16,0,0.85912776,4.605168569
0,20,17,17,0,0.85912776,4.605168569
0,20,13,13,0,0.85912776,4.605168569
0,20,13,9,0,0.85912776,4.605168569
0,20,17,19,0,0.85912776,4.605168569
0,20,18,18,0,0.85912776,4.605168569
0,20,13,7,0,0.85912776,4.605168569
0,20,13,10,0,0.85912776,4.605168569
0,20,18,16,0,0.991220713,4.890240669
0,20,18,18,0,0.991220713,4.890240669
0,20,12,18,0,0.991220713,4.890240669
0,20,18,13,0,0.991220713,4.890240669
0,20,12,17,0,0.991220713,4.890240669
0,20,17,19,0,0.991220713,4.890240669
0,20,17,18,0,0.991220713,4.890240669
0,20,17,18,0,0.991220713,4.890240669
0,20,19,20,0,0.991220713,4.890240669
0,20,18,20,0,0.991220713,4.890240669
0,20,12,13,0,0.991220713,4.890240669
0,20,17,19,0,0.991220713,4.890240669
0,20,12,13,0,0.991220713,4.890240669
0,20,27,27,0,0.991220713,4.890240669
0,20,18,13,0,0.991220713,4.890240669
0,20,18,15,0,0.991220713,4.890240669
0,20,12,12,0,0.991220713,4.890240669
0,20,27,23,0,0.991220713,4.890240669
0,20,18,20,0,0.991220713,4.890240669
0,20,19,19,0,0.991220713,4.890240669
0,20,12,16,0,0.754503489,4.646909082
0,20,12,6,0,0.754503489,4.646909082
0,20,12,13,0,0.754503489,4.646909082
0,20,12,12,0,0.754503489,4.646909082
0,20,12,13,0,0.754503489,4.646909082
0,20,12,12,0,0.754503489,4.646909082
0,20,12,9,0,0.754503489,4.646909082
0,20,15,14,0,0.754503489,4.646909082
0,20,15,19,0,0.754503489,4.646909082
0,20,15,15,0,0.754503489,4.646909082
0,20,12,12,0,0.754503489,4.646909082
0,20,15,10,0,0.754503489,4.646909082
0,20,12,11,0,0.754503489,4.646909082
0,20,14,13,0,0.754503489,4.646909082
0,20,15,14,0,0.754503489,4.646909082
0,20,15,11,0,0.754503489,4.646909082
0,20,14,15,0,0.754503489,4.646909082
0,20,15,16,0,0.754503489,4.646909082
0,20,12,13,0,0.754503489,4.646909082
0,20,12,10,0,0.754503489,4.646909082
0,20,13,20,0,0.844522715,5.021229112
0,20,13,19,0,0.844522715,5.021229112
0,20,12,20,0,0.844522715,5.021229112
0,20,12,20,0,0.844522715,5.021229112
0,20,19,23,0,0.844522715,5.021229112
0,20,19,16,0,0.844522715,5.021229112
0,20,19,15,0,0.844522715,5.021229112
0,20,12,16,0,0.844522715,5.021229112
0,20,13,18,0,0.844522715,5.021229112
0,20,28,27,0,0.844522715,5.021229112
0,20,13,18,0,0.844522715,5.021229112
0,20,13,18,0,0.844522715,5.021229112
0,20,19,16,0,0.844522715,5.021229112
0,20,13,19,0,0.844522715,5.021229112
0,20,12,17,0,0.844522715,5.021229112
0,20,12,17,0,0.844522715,5.021229112
0,20,12,15,0,0.844522715,5.021229112
0,20,12,17,0,0.844522715,5.021229112
0,20,13,19,0,0.844522715,5.021229112
0,20,19,19,0,0.844522715,5.021229112
0,20,18,15,0,0.883267403,5.672915792
0,20,22,24,0,0.883267403,5.672915792
0,20,14,13,0,0.883267403,5.672915792
0,20,16,15,0,0.883267403,5.672915792
0,20,16,17,0,0.883267403,5.672915792
0,20,13,11,0,0.883267403,5.672915792
0,20,18,20,0,0.883267403,5.672915792
0,20,22,22,0,0.883267403,5.672915792
0,20,18,12,0,0.883267403,5.672915792
0,20,13,8,0,0.883267403,5.672915792
0,20,18,19,0,0.883267403,5.672915792
0,20,13,14,0,0.883267403,5.672915792
0,20,16,16,0,0.883267403,5.672915792
0,20,13,14,0,0.883267403,5.672915792
0,20,13,12,0,0.883267403,5.672915792
0,20,13,12,0,0.883267403,5.672915792
0,20,13,14,0,0.883267403,5.672915792
0,20,18,17,0,0.883267403,5.672915792
0,20,16,16,0,0.883267403,5.672915792
0,20,16,16,0,0.883267403,5.672915792
0,20,14,12,0,0.815275908,5.010113835
0,20,8,14,0,0.815275908,5.010113835
0,20,14,15,0,0.815275908,5.010113835
0,20,22,19,0,0.815275908,5.010113835
0,20,14,9,0,0.815275908,5.010113835
0,20,14,14,0,0.815275908,5.010113835
0,20,14,13,0,0.815275908,5.010113835
0,20,24,22,0,0.815275908,5.010113835
0,20,22,21,0,0.815275908,5.010113835
